%% LaTeX2e file `Optymize_Grape.dat'
%% generated by the `filecontents' environment
%% from source `report' on 2019/11/07.
%%
 100 0.049
 200 0.205
 300 0.479
 400 0.872
 500 1.371
 600 1.973
 700 2.866
